service_id,date,exception_type
0000001_TR8,20200412,2
0000001_TR8,20200413,1
0000001_TR8,20200705,2
0000001_TR8,20200706,1
0000001_TR8,20200927,2
0000001_TR8,20200928,1
0000001_TR8,20201028,1
0000001_TR8,20201117,1
0000011_TR6,20191225,1
0000011_TR6,20191226,1
0000011_TR6,20200101,1
0000011_TR6,20200410,1
0000011_TR6,20200413,1
0000011_TR6,20200501,1
0000011_TR6,20200508,1
0000011_TR6,20200706,1
0000011_TR6,20200928,1
0000011_TR6,20201028,1
0000011_TR6,20201117,1
0000111_TR1,20191224,1
0000111_TR1,20191225,1
0000111_TR1,20191226,1
0000111_TR1,20200101,1
0000111_TR1,20200130,1
0000111_TR1,20200408,1
0000111_TR1,20200409,1
0000111_TR1,20200413,1
0000111_TR1,20200430,1
0000111_TR1,20200507,1
0000111_TR1,20200630,1
0000111_TR1,20200706,1
0000111_TR1,20200831,1
0000111_TR1,20200928,1
0000111_TR1,20201027,1
0000111_TR1,20201028,1
0000111_TR1,20201117,1
1111000_TR4,20191224,2
1111000_TR4,20191225,2
1111000_TR4,20191226,2
1111000_TR4,20200101,2
1111000_TR4,20200130,2
1111000_TR4,20200408,2
1111000_TR4,20200409,2
1111000_TR4,20200413,2
1111000_TR4,20200430,2
1111000_TR4,20200507,2
1111000_TR4,20200630,2
1111000_TR4,20200706,2
1111000_TR4,20200831,2
1111000_TR4,20200928,2
1111000_TR4,20201027,2
1111000_TR4,20201028,2
1111000_TR4,20201117,2
1111100_TR7,20200706,2
1111100_TR7,20200928,2
1111100_TR7,20201028,2
1111100_TR7,20201117,2
1111110_TR4,20200706,2
1111110_TR4,20200928,2
1111110_TR4,20201028,2
1111110_TR4,20201117,2
0000001_TR9,20200705,2
0000001_TR9,20200706,1
0000001_TR9,20200927,2
0000001_TR9,20200928,1
0000001_TR9,20201028,1
0000001_TR9,20201117,1
0000011_TR7,20200410,1
0000011_TR7,20200413,1
0000011_TR7,20200501,1
0000011_TR7,20200508,1
0000011_TR7,20200706,1
0000011_TR7,20200928,1
